Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_log,TotalWorkingYears_log,YearsPerCompany,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
35,809,16,3,1,14,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3,7.794411205726601,1.9459101490553128,6.0,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
29,153,15,2,1,15,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,3,9,5,0,8,8.341410211461865,2.3978952727983707,10.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
31,670,26,1,1,16,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,1,2,5,2,4,3,7.976595409316577,1.791759469228055,5.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
34,1346,19,2,1,18,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,2,3,2,2,1,2,7.886832998955056,1.3862943611198906,3.0,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
28,103,24,3,1,19,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,4,3,4,2,0,3,7.615298339825815,1.9459101490553128,1.2,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
29,1389,21,4,1,20,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,1,3,10,9,8,8,9.208438564686588,2.3978952727983707,10.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,334,5,2,1,21,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,5,2,6,2,0,5,8.101374671228582,2.079441541679836,7.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
22,1123,16,2,1,22,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0,7.984803389734406,0.6931471805599453,1.0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
53,1219,2,4,1,23,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7,9.64393931932812,3.4657359027997265,15.5,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
38,371,2,3,1,24,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2,8.280204233279974,1.9459101490553128,1.2,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
24,673,11,2,1,26,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,5,2,4,2,1,3,8.297045149081827,1.791759469228055,5.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,1218,9,4,1,27,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3,8.133880887949207,2.3978952727983707,1.4285714285714286,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
34,419,7,4,1,28,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,4,3,12,6,2,11,9.392245175273796,2.6390573296152584,13.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
21,391,15,2,1,30,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0,7.117205503164344,0.0,0.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
34,699,6,1,1,31,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,2,3,4,2,1,3,7.993282328101591,2.19722457733622,4.0,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
53,1282,5,3,1,32,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,3,2,14,13,4,8,9.857181799659616,3.295836866004329,6.5,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
32,1125,16,1,1,33,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,5,3,10,2,6,7,8.273846932784508,2.3978952727983707,10.0,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
42,691,8,4,1,35,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,2,3,9,7,4,2,8.828494129466652,2.3978952727983707,10.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
44,477,7,4,1,36,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,4,3,22,6,5,17,9.234935418831563,3.218875824868201,8.0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46,705,2,4,1,38,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,2,1,9.849453664043642,3.1354942159291497,7.333333333333333,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
33,924,2,3,1,39,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,3,1,1,0,0,7.822845290279774,2.079441541679836,1.75,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
44,1459,10,4,1,40,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,5,4,4,2,1,3,8.774312958285378,2.302585092994046,4.5,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True
30,125,9,2,1,41,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,5,3,10,0,1,8,7.699389406256737,2.3978952727983707,10.0,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
39,895,5,3,1,42,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0,7.643482907077201,2.995732273553991,6.333333333333333,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
24,813,1,3,1,45,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,7.738052297689316,1.9459101490553128,3.0,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
43,1273,2,2,1,46,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,3,2,5,3,1,4,7.880804344674901,1.9459101490553128,6.0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50,869,3,2,1,47,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,2,3,3,2,0,2,7.895063498091573,1.3862943611198906,3.0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
35,890,2,3,1,49,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2,7.608374474380783,1.0986122886681098,2.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36,852,5,4,1,51,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,8.13739583005665,1.9459101490553128,0.6666666666666666,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
33,1141,1,3,1,52,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3,8.589885876809678,2.3978952727983707,5.0,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
35,464,4,2,1,53,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0,7.576609766973037,0.6931471805599453,1.0,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
27,1240,2,4,1,54,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,6,3,1,0,0,0,7.758760544157663,0.6931471805599453,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,1357,25,3,1,55,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,2,1,0,0,1,7.738052297689316,0.6931471805599453,1.0,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
27,994,8,3,1,56,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,0,3,9,8,1,7,9.074176947163313,2.302585092994046,9.0,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
30,721,1,2,1,57,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,2,3,12,8,3,7,8.297045149081827,2.5649493574615367,12.0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
41,1360,12,3,1,58,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,9.880525940898782,3.1780538303479458,23.0,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
34,1065,23,4,1,60,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,2,3,9,5,8,7,8.427049641563272,2.3978952727983707,10.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
37,408,19,2,1,61,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,1,3,1,0,0,0,8.014004994779459,2.19722457733622,2.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
46,1211,5,4,1,62,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8,8.660947155060933,2.70805020110221,3.5,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
35,1229,8,1,1,63,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,2,3,1,0,0,1,7.727535110475448,0.6931471805599453,1.0,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
48,626,1,2,1,64,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,2,3,1,0,0,0,8.590815331286851,3.1780538303479458,2.5555555555555554,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
28,1434,5,4,1,65,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,3,2,2,2,2,2,8.143807976771484,1.0986122886681098,2.0,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True
44,1488,1,5,1,68,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,8.604287898267172,2.302585092994046,1.8,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
35,1097,11,2,1,70,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3,9.198773735604718,2.3978952727983707,5.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
26,1443,23,3,1,72,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0,8.332789468417959,1.791759469228055,0.7142857142857143,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
33,515,1,2,1,73,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,1,3,15,14,8,12,9.507403306233716,2.772588722239781,15.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
35,853,18,5,1,74,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,3,2,9,8,1,8,9.112727543109182,2.302585092994046,9.0,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
35,1142,23,4,1,75,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,3,2,2,2,2,8.297792626380861,1.6094379124341005,1.3333333333333333,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
31,655,7,4,1,76,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,3,2,7,7,1,7,8.68541582383069,2.3978952727983707,3.3333333333333335,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
37,1115,1,4,1,77,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,2,4,7,5,0,7,8.69851424787661,2.079441541679836,7.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
32,427,1,3,1,78,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,3,9,8,7,8,8.726318950962243,2.302585092994046,9.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
38,653,29,5,1,79,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,2,3,10,3,9,9,7.786136437783072,2.3978952727983707,10.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
50,989,7,2,1,80,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,2,27,3,13,8,9.83846891616168,3.4011973816621555,5.8,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
59,1435,25,3,1,81,1,99,3,3,1,7637,2354,7,11,3,4,80,0,28,3,2,21,16,7,9,8.940891067785461,3.367295829986474,4.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,1223,8,3,1,83,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,2,3,17,14,12,8,9.21999362900432,2.8903717578961645,17.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,836,8,3,1,84,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,2,3,5,0,0,2,9.59947282546345,3.091042453358316,10.5,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
36,1195,11,3,1,85,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,3,6,5,0,3,8.779557455883728,1.9459101490553128,6.0,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
45,1339,7,3,1,86,2,59,3,3,1,9724,18787,2,17,3,3,80,1,25,2,3,1,0,0,0,9.182455168486648,3.258096538021482,12.5,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
35,664,1,3,1,88,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,2,3,2,1,2,7.693937325509272,1.791759469228055,1.25,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
36,318,9,3,1,90,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,0,2,1,0,0,0,8.128290171607052,1.0986122886681098,2.0,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
59,1225,1,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,2,4,3,1,3,8.607764889600624,3.044522437723423,2.857142857142857,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
29,1328,2,3,1,94,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,3,5,4,0,4,7.902487437162855,1.9459101490553128,6.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
31,1082,1,4,1,95,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,4,3,1,1,1,0,7.824845691026856,0.6931471805599453,1.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
32,548,1,3,1,96,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,3,10,4,0,9,8.73568594451502,2.3978952727983707,10.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
36,132,6,3,1,97,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,3,1,0,0,0,8.019283792916793,1.791759469228055,1.6666666666666667,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
31,746,8,4,1,98,3,61,3,2,4,4424,20682,1,23,4,4,80,0,11,2,3,11,7,1,8,8.39502555744203,2.4849066497880004,11.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
35,776,1,4,1,100,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,2,3,15,13,2,8,8.369388996647842,2.833213344056216,16.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
45,193,6,4,1,101,4,52,3,3,1,13245,15067,4,14,3,2,80,0,17,3,4,0,0,0,0,9.491450899044924,2.8903717578961645,4.25,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True
37,397,7,4,1,102,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,3,4,5,2,0,2,9.522593098362169,2.833213344056216,4.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
46,945,5,2,1,103,2,80,3,2,2,5021,10425,8,22,4,4,80,1,16,2,3,4,2,0,2,8.52158353971753,2.833213344056216,2.0,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
30,852,1,1,1,104,4,55,2,2,4,5126,15998,1,12,3,3,80,2,10,1,2,10,8,3,0,8.5422759717837,2.3978952727983707,10.0,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
35,1214,1,3,1,105,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,3,6,4,0,4,7.958576903813898,1.9459101490553128,6.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
55,111,1,2,1,106,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,4,3,1,0,1,0,9.2340568985935,3.218875824868201,8.0,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
38,573,6,3,1,107,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,3,13,11,1,9,8.58110651715989,2.8903717578961645,2.4285714285714284,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
34,1153,1,2,1,110,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,2,3,5,2,1,3,8.372398606513004,1.791759469228055,5.0,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
56,1400,7,3,1,112,4,49,1,3,4,7260,21698,4,11,3,1,80,0,37,3,2,6,4,0,2,8.890272839380247,3.6375861597263857,9.25,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
23,541,2,1,1,113,3,62,3,1,1,2322,9518,3,13,3,3,80,1,3,3,3,0,0,0,0,7.750614732770409,1.3862943611198906,1.0,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
51,432,9,4,1,116,4,96,3,1,4,2075,18725,3,23,4,2,80,2,10,4,3,4,2,0,3,7.638198244285779,2.3978952727983707,3.3333333333333335,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
30,288,2,3,1,117,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,3,11,10,10,8,8.331586243630754,2.4849066497880004,11.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46,669,9,2,1,118,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,3,9,8,4,7,9.171599543659752,2.302585092994046,9.0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
40,530,1,4,1,119,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,3,2,22,3,11,11,9.510741216835738,3.1354942159291497,22.0,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
51,632,21,4,1,120,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,2,1,10,7,1,0,8.601901919343192,2.4849066497880004,11.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
30,1334,4,2,1,121,3,63,2,2,2,5209,19760,1,12,3,2,80,3,11,4,2,11,8,2,7,8.558335134747413,2.4849066497880004,11.0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,638,1,3,1,124,3,40,2,3,1,10673,3142,2,13,3,3,80,1,21,5,2,10,9,9,5,9.27556615689389,3.091042453358316,10.5,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
32,1093,6,4,1,125,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,0,3,11,8,5,7,8.519390774959724,2.5649493574615367,12.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
54,1217,2,4,1,126,1,60,3,3,3,13549,24001,9,12,3,1,80,1,16,5,1,4,3,0,3,9.514141826307847,2.833213344056216,1.7777777777777777,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
24,1353,3,2,1,128,1,33,3,2,3,4999,17519,0,21,4,1,80,1,4,2,2,3,2,0,2,8.517193191416238,1.6094379124341005,4.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
28,120,4,3,1,129,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,3,4,5,4,0,4,8.348064228408266,1.791759469228055,5.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
58,682,10,4,1,131,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,1,2,37,10,1,8,9.537699784080726,3.6635616461296463,38.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
44,489,23,3,1,132,2,67,3,2,2,2042,25043,4,12,3,3,80,1,17,3,4,3,2,1,2,7.622174594817622,2.8903717578961645,4.25,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
37,807,6,4,1,133,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,3,2,0,2,7.637234388789473,2.079441541679836,1.75,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
32,827,1,1,1,134,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,2,3,1,0,0,0,7.991930519852477,0.6931471805599453,1.0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
20,871,6,3,1,137,4,66,2,1,4,2926,19783,1,18,3,2,80,0,1,5,3,1,0,1,0,7.981733286691885,0.6931471805599453,1.0,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
34,665,6,4,1,138,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,3,16,13,2,10,8.478452363099807,2.833213344056216,16.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
37,1040,2,2,1,139,3,100,2,2,4,5163,15850,5,14,3,4,80,1,17,2,4,1,0,0,0,8.549466751966532,2.8903717578961645,3.4,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
59,1420,2,4,1,140,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,3,2,2,2,9.844002905701236,3.4339872044851463,3.3333333333333335,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
50,1115,1,3,1,141,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,1,2,8,3,0,7,9.807692255081262,3.367295829986474,9.333333333333334,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
25,240,5,3,1,142,3,46,2,2,3,5744,26959,1,11,3,4,80,0,6,1,3,6,4,0,3,8.656085190282855,1.9459101490553128,6.0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
